,0,1,2,3,4,5,6,7,8,9,10
0,0.0191,0.087,0.1977,0.2542,0.2284,0.1348,0.0574,0.0172,0.0037,0.0004,0.0001
1,0.0177,0.0874,0.2015,0.255,0.2255,0.1389,0.056,0.0143,0.0036,0.0001,0.0
2,0.0212,0.0819,0.1951,0.255,0.2344,0.1369,0.0576,0.0152,0.0022,0.0005,0.0
3,0.0203,0.0853,0.192,0.2655,0.2212,0.1381,0.0573,0.016,0.0037,0.0003,0.0003
4,0.0167,0.0837,0.1999,0.2589,0.2164,0.1461,0.0587,0.0159,0.0033,0.0003,0.0001
5,0.0182,0.0883,0.1953,0.2573,0.2243,0.1384,0.0579,0.0176,0.0024,0.0003,0.0
6,0.0171,0.0856,0.1964,0.2579,0.2289,0.1375,0.0577,0.0157,0.0029,0.0002,0.0001
7,0.0178,0.0845,0.1969,0.2591,0.2248,0.138,0.0579,0.0172,0.0034,0.0003,0.0001
8,0.0186,0.0909,0.1985,0.2555,0.2267,0.1362,0.0554,0.0147,0.0028,0.0007,0.0
9,0.0188,0.0838,0.2006,0.257,0.2264,0.1348,0.0582,0.0166,0.0034,0.0004,0.0
10,0.0184,0.0897,0.1915,0.257,0.231,0.1334,0.0568,0.0182,0.0035,0.0004,0.0001
11,0.0169,0.0882,0.1906,0.261,0.2357,0.136,0.0535,0.0149,0.003,0.0002,0.0
12,0.0177,0.0855,0.1933,0.2587,0.2293,0.1402,0.059,0.0133,0.0026,0.0004,0.0
13,0.0175,0.0871,0.1981,0.2651,0.2199,0.1342,0.0583,0.0163,0.0033,0.0002,0.0
14,0.0166,0.0837,0.195,0.2656,0.2254,0.1414,0.0529,0.0161,0.0029,0.0003,0.0001
15,0.0173,0.0909,0.2018,0.2581,0.2232,0.1349,0.0526,0.0174,0.0032,0.0003,0.0003
16,0.0166,0.0913,0.1899,0.2633,0.231,0.1331,0.0572,0.0154,0.002,0.0002,0.0
17,0.0167,0.0843,0.1897,0.2677,0.2263,0.1362,0.0587,0.0167,0.0033,0.0004,0.0
18,0.0165,0.0833,0.1962,0.2594,0.2313,0.1365,0.0567,0.0162,0.0034,0.0004,0.0001
