,0,1,2
0,"(3, 0)","(3, 1)","(3, 0)"
1,"(6, 0)","(3, 0)","(3, 1)"
2,"(4, 0)","(2, 0)","(3, 1)"
3,"(4, 0)","(6, 1)","(2, 0)"
4,"(2, 0)","(4, 1)","(2, 1)"
5,"(3, 1)","(4, 1)","(2, 0)"
6,"(2, 1)","(2, 2)","(2, 0)"
7,"(2, 1)","(5, 1)","(2, 0)"
8,"(3, 1)","(3, 1)","(2, 1)"
9,"(3, 1)","(3, 1)","(3, 1)"
10,"(2, 0)","(2, 1)","(2, 1)"
11,"(3, 1)","(2, 1)","(2, 0)"
12,"(2, 1)","(2, 1)","(2, 1)"
13,"(2, 1)","(2, 1)","(2, 0)"
14,"(3, 1)","(2, 1)","(2, 1)"
15,"(2, 1)","(2, 2)","(3, 1)"
16,"(2, 1)","(2, 0)","(2, 1)"
17,"(2, 1)","(2, 1)","(2, 2)"
