,0,1,2,3,4,5,6,7,8,9,10
0,0.0168,0.0852,0.1994,0.2529,0.2361,0.1357,0.0567,0.0147,0.0023,0.0002,0.0
1,0.0163,0.0837,0.1991,0.2649,0.2225,0.1405,0.0533,0.0161,0.0032,0.0004,0.0
2,0.0173,0.0862,0.1951,0.2619,0.2243,0.1398,0.0567,0.016,0.0019,0.0008,0.0
3,0.0176,0.0838,0.1989,0.2617,0.2307,0.1318,0.0547,0.0172,0.0032,0.0004,0.0
4,0.0148,0.0849,0.1967,0.2575,0.2291,0.1406,0.0587,0.014,0.0036,0.0001,0.0
5,0.016,0.0889,0.1983,0.257,0.2328,0.1297,0.0595,0.0142,0.0034,0.0001,0.0001
6,0.0167,0.0847,0.1986,0.2651,0.2224,0.1345,0.0597,0.0153,0.0028,0.0002,0.0
7,0.0186,0.0812,0.195,0.2571,0.2278,0.1376,0.0622,0.0172,0.0029,0.0004,0.0
8,0.0192,0.0865,0.1967,0.2639,0.2179,0.1411,0.055,0.0169,0.0026,0.0002,0.0
9,0.019,0.0854,0.1969,0.251,0.2309,0.1415,0.056,0.0164,0.0027,0.0002,0.0
10,0.0192,0.0856,0.2033,0.2593,0.2236,0.1346,0.0561,0.0157,0.0021,0.0005,0.0
11,0.0193,0.0872,0.1984,0.2635,0.2191,0.1369,0.055,0.0171,0.003,0.0005,0.0
12,0.0181,0.0836,0.1924,0.2639,0.2308,0.135,0.056,0.0174,0.0023,0.0005,0.0
13,0.0146,0.0884,0.1889,0.2562,0.2342,0.1378,0.0599,0.0172,0.0024,0.0004,0.0
14,0.0154,0.0871,0.1913,0.2616,0.2343,0.1304,0.0602,0.0162,0.0029,0.0005,0.0001
15,0.0167,0.0874,0.1894,0.2573,0.2236,0.1458,0.0577,0.0189,0.003,0.0002,0.0
16,0.0171,0.0903,0.1921,0.2541,0.2339,0.136,0.0582,0.0153,0.0028,0.0002,0.0
17,0.0176,0.0861,0.1967,0.2602,0.222,0.1401,0.0585,0.0152,0.0033,0.0003,0.0
18,0.0202,0.0851,0.1943,0.2554,0.2292,0.1406,0.0535,0.0181,0.003,0.0006,0.0
